         564678 function calls (551003 primitive calls) in 1.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      884    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       96    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      414    0.012    0.000    0.023    0.000 inspect.py:882(cleandoc)
      767    0.001    0.000    0.023    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.023    0.006 util.py:1(<module>)
      805    0.022    0.000    0.022    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.022    0.022 actor.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _add_newdocs.py:1(<module>)
      768    0.022    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
     8150    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.022    0.022 _typing.py:1(<module>)
        1    0.000    0.000    0.021    0.021 take.py:1(<module>)
        3    0.000    0.000    0.021    0.007 main.py:1(<module>)
3523/3274    0.013    0.000    0.021    0.000 {built-in method __new__ of type object at 0x7eff53eaa600}
        1    0.000    0.000    0.021    0.021 base_events.py:1(<module>)
        2    0.000    0.000    0.020    0.010 construction.py:1(<module>)
      350    0.001    0.000    0.020    0.000 function_base.py:490(add_newdoc)
      451    0.003    0.000    0.020    0.000 typing.py:1269(__init__)
     1829    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.020    0.020 multiarray.py:1(<module>)
     1707    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:632(cached)
       47    0.000    0.000    0.019    0.000 dataclasses.py:1247(dataclass)
      902    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      810    0.018    0.000    0.018    0.000 {method 'read' of '_io.BufferedReader' objects}
      350    0.001    0.000    0.017    0.000 function_base.py:474(_add_docstring)
  182/165    0.000    0.000    0.017    0.000 typing.py:515(__getitem__)
      158    0.002    0.000    0.017    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.016    0.016 series.py:1(<module>)
      160    0.001    0.000    0.016    0.000 typing.py:694(Union)
        3    0.001    0.000    0.016    0.005 core.py:1(<module>)
      151    0.000    0.000    0.015    0.000 inspect.py:3346(signature)
     1829    0.007    0.000    0.015    0.000 <frozen importlib._bootstrap>:124(setdefault)
      151    0.000    0.000    0.015    0.000 inspect.py:3081(from_callable)
