         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      776    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     1833    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       54    0.002    0.000    0.013    0.000 enum.py:528(__new__)
      346    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
      198    0.002    0.000    0.002    0.000 inspect.py:2998(__init__)
      458    0.002    0.000    0.002    0.000 _inspect.py:66(getargs)
     4287    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3497    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      264    0.002    0.000    0.019    0.000 overrides.py:145(decorator)
      663    0.002    0.000    0.003    0.000 inspect.py:2712(__init__)
     4989    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
      776    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1705    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.002    0.002    0.002    0.002 parquet.py:1(<module>)
      132    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      611    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1219    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3996    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     4851    0.002    0.000    0.002    0.000 typing.py:1599(<genexpr>)
  138/134    0.002    0.000    0.014    0.000 inspect.py:2470(_signature_from_callable)
        1    0.002    0.002    0.002    0.002 format.py:415(DataFrameFormatter)
      838    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:416(__enter__)
      259    0.001    0.000    0.007    0.000 _logging.py:57(_injects_client_details_to_log_context)
     2978    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      662    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
  592/451    0.001    0.000    0.039    0.000 typing.py:392(inner)
      368    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     4854    0.001    0.000    0.002    0.000 _parser.py:256(match)
      366    0.001    0.000    0.001    0.000 typing.py:2476(overload)
        1    0.001    0.001    0.001    0.001 generic.py:2108(DataFrameGroupBy)
     3413    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      229    0.001    0.000    0.006    0.000 overrides.py:86(verify_matching_signatures)
     4989    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      198    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     1525    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
       13    0.001    0.000    0.009    0.001 enum.py:919(_convert_)
  701/698    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      414    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      611    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        9    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     3033    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        3    0.001    0.000    0.006    0.002 parser.py:56(parsestr)
      633    0.001    0.000    0.002    0.000 {built-in method fromkeys}
       23    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.001    0.001    0.001    0.001 object_array.py:35(ObjectStringArrayMixin)
      150    0.001    0.000    0.015    0.000 typing.py:687(Union)
       21    0.001    0.000    0.011    0.001 typing.py:2780(__new__)
     1036    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     3412    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      701    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1796    0.001    0.000    0.001    0.000 _parser.py:293(tell)
       99    0.001    0.000    0.009    0.000 typing.py:746(Literal)
     1705    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
   502/66    0.001    0.000    0.708    0.011 {built-in method builtins.__import__}
        1    0.001    0.001    0.004    0.004 constant.py:1(<module>)
       23    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1049    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      350    0.001    0.000    0.025    0.000 function_base.py:490(add_newdoc)
        3    0.001    0.000    0.019    0.006 core.py:1(<module>)
     1324    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
   101/31    0.001    0.000    0.006    0.000 typing.py:1328(_make_substitution)
      831    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       17    0.001    0.000    0.001    0.000 generic.py:37(create_pandas_abc_type)
      807    0.001    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     2453    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.001    0.001    0.010    0.010 frame.py:515(DataFrame)
     2453    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     2776    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
     1476    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:632(cached)
     1539    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
